country,year,illiteracy_male,illiteracy_female,female_to_male_ratio,illiterate_total
india,2016,93.55494,86.73757,0.927129769951218,180.29251
india,2020,99.07,90.95,0.9180377510850914,190.01999999999998
india,2022,97.0,96.0,0.9896907216494846,193.0
india,2023,98.0,96.0,0.9795918367346939,194.0
indonesia,1990,97.0,95.0,0.979381443298969,192.0
indonesia,2004,99.0,99.0,1.0,198.0
indonesia,2006,97.0,96.0,0.9896907216494846,193.0
indonesia,2008,100.0,99.0,0.99,199.0
indonesia,2009,100.0,99.0,0.99,199.0
indonesia,2011,99.0,99.0,1.0,198.0
indonesia,2014,100.0,100.0,1.0,200.0
indonesia,2015,100.0,100.0,1.0,200.0
indonesia,2016,100.0,100.0,1.0,200.0
indonesia,2017,99.93,99.29,0.9935955168618033,199.22000000000003
indonesia,2018,100.0,100.0,1.0,200.0
indonesia,2020,100.0,100.0,1.0,200.0
indonesia,2022,92.91,94.72,1.0194812183833817,187.63
iran,1991,92.0,81.0,0.8804347826086957,173.0
iran,1996,96.0,91.0,0.9479166666666666,187.0
iran,2005,98.0,97.0,0.9897959183673469,195.0
iran,2006,97.0,96.0,0.9896907216494846,193.0
iran,2008,98.0,97.0,0.9897959183673469,195.0
iran,2012,98.0,98.0,1.0,196.0
iran,2013,98.0,97.0,0.9897959183673469,195.0
iran,2014,98.0,98.0,1.0,196.0
iran,2016,98.0,98.0,1.0,196.0
iraq,2000,89.0,80.0,0.898876404494382,169.0
iraq,2012,87.0,79.0,0.9080459770114943,166.0
iraq,2014,92.0,86.0,0.9347826086956522,178.0
iraq,2016,93.0,88.0,0.946236559139785,181.0
iraq,2017,95.0,92.0,0.968421052631579,187.0
italy,2001,100.0,100.0,1.0,200.0
italy,2011,100.0,100.0,1.0,200.0
italy,2019,100.0,100.0,1.0,200.0
jamaica,1999,87.0,96.0,1.103448275862069,183.0
jamaica,2022,88.23,99.29619,1.1254243454607276,187.52618999999999
jordan,2003,99.0,99.0,1.0,198.0
jordan,2005,99.0,99.0,1.0,198.0
jordan,2007,99.0,99.0,1.0,198.0
jordan,2010,99.0,99.0,1.0,198.0
jordan,2011,99.0,99.0,1.0,198.0
jordan,2012,99.0,99.0,1.0,198.0
jordan,2018,97.42178,95.90284,0.9844086199205146,193.32461999999998
jordan,2023,99.0,99.0,1.0,198.0
kazakhstan,1999,100.0,100.0,1.0,200.0
kazakhstan,2009,100.0,100.0,1.0,200.0
kenya,2000,93.0,92.0,0.989247311827957,185.0
kenya,2014,94.02,92.31,0.9818123803446076,186.32999999999998
kenya,2022,96.14752,95.28072,0.9909846868645182,191.42824000000002
kiribati,2018,95.83073,98.50159,1.0278706005891847,194.33231999999998
kuwait,1995,94.0,90.0,0.9574468085106383,184.0
kuwait,2005,100.0,100.0,1.0,200.0
kuwait,2006,99.0,98.0,0.98989898989899,197.0
kuwait,2007,98.0,99.0,1.010204081632653,197.0
kuwait,2008,99.0,99.0,1.0,198.0
kuwait,2010,99.0,99.0,1.0,198.0
kuwait,2012,99.0,99.0,1.0,198.0
kuwait,2013,99.0,99.0,1.0,198.0
kuwait,2015,99.0,99.0,1.0,198.0
kuwait,2017,99.0,99.0,1.0,198.0
kuwait,2018,99.0,100.0,1.0101010101010102,199.0
kuwait,2020,99.0,100.0,1.0101010101010102,199.0
kyrgyzstan,1999,100.0,100.0,1.0,200.0
kyrgyzstan,2009,100.0,100.0,1.0,200.0
laos,1995,79.0,64.0,0.810126582278481,143.0
laos,2000,88.0,74.0,0.8409090909090909,162.0
laos,2001,83.0,75.0,0.9036144578313253,158.0
laos,2005,89.0,79.0,0.8876404494382022,168.0
laos,2015,94.0,91.0,0.9680851063829787,185.0
laos,2017,91.20028,84.4665,0.9261649196691062,175.66678000000002
latvia,2000,100.0,100.0,1.0,200.0
latvia,2011,100.0,100.0,1.0,200.0
lebanon,2007,98.0,99.0,1.010204081632653,197.0
lebanon,2009,99.0,99.0,1.0,198.0
lebanon,2018,98.0,96.0,0.9795918367346939,194.0
lesotho,2000,85.0,97.0,1.1411764705882352,182.0
lesotho,2006,66.0,85.0,1.2878787878787878,151.0
lesotho,2009,82.23,94.25,1.146175361790101,176.48000000000002
lesotho,2014,87.37,96.52,1.1047270230056083,183.89
lesotho,2016,97.0,100.0,1.0309278350515463,197.0
